size_bytes,size_label,latencia_ns
4096,4k, 1.451
8192,8k, 1.454
16384,16k, 1.453
32768,32k, 1.455
65536,64k, 1.451
98304,96k, 1.456
131072,128k, 1.464
163840,160k, 7.633
196608,192k, 9.148
262144,256k,10.217
393216,384k,10.371
524288,512k, 9.974
786432,768k,11.454
1048576,1m,10.405
2097152,2m,10.427
3145728,3m,10.502
4194304,4m,10.383
6291456,6m,10.441
8388608,8m,11.114
10485760,10m,11.677
12582912,12m,13.728
14680064,14m,12.939
16777216,16m,12.470
18874368,18m,15.394
20971520,20m,12.332
25165824,24m,14.803
29360128,28m,15.739
33554432,32m,17.532
41943040,40m,28.634
50331648,48m,20.739
67108864,64m,25.962
100663296,96m,39.527
134217728,128m,39.250
201326592,192m,42.207
268435456,256m,39.815
402653184,384m,40.508
536870912,512m,40.160
805306368,768m,48.358
1073741824,1g,40.766
